Eel,Treatment,Treatment_Round,Trial_Duration,Handling_Dur,Handling-PT,PT_Duration,PT_Prop,Knotting_Duration,Knotting_Prop,Knotting_Prop_Handling,Knotting_Binomial,Rotating_Duration,Rotating_Prop,Rotating_Prop_Handling,Ramming_Duration,Ramming_Prop,Ramming_Prop_Handling,Shaking_Duration,Shaking_Prop,Shaking_Prop_Handling,Crinkle_Duration,Crinkle_Prop,Crinkle_Prop_Handling,Tug_Duration,Tug_Prop,Tug_Prop_Handling,Anchor_Duration,Anchor_Prop,Anchor_Prop_Handling,Bite,Knotting_Freq,Rotating_Freq,Ramming_Freq,Shaking_Freq,BodyAnchor_Freq,TailAnchor_Freq
Horatio,Medium,3,25.615,0.955,15.463,10.152,10.63036649,0,0,0,No,0.687,0.026820223,0.719371728,0,0,0,0.268,0.01046262,0.280628272,0,0,0,0.436,0.017021277,0.456544503,0,0,0,10,0,1,0,2,0,0
Spaghettio,Medium,3,20.996,10.748,18.223,2.773,0.258001489,0,0,0,No,6.346,0.302248047,0.59043543,0,0,0,0,0,0,1.562,0.074395123,0.145329364,0.952,0.04534197,0.088574619,2.84,0.13526386,0.264235207,8,0,4,0,0,2,2
Jhonny ,Medium,3,59.483,52.867,46.414,13.069,0.247205251,0,0,0,No,1.608,0.027032934,0.030415949,24.85,0.417766421,0.470047478,0.403,0.006775045,0.007622903,21.096,0.354655952,0.399039098,0.318,0.005346065,0.006015094,4.91,0.082544593,0.092874572,14,0,4,3,1,7,2
Eelvis ,Large,1,173.718,29.706,170.493,3.225,0.108563926,4.778,0.027504346,0.160842927,Yes,23.994,0.138120402,0.807715613,0,0,0,0.901,0.005186567,0.030330573,0,0,0,1.403,0.008076308,0.047229516,0.033,0.000189963,0.001110887,28,3,16,0,2,0,1
Yorick,Large,1,15.048,7.028,15.048,0,0,0,0,0,No,4.143,0.275318979,0.589499146,0,0,0,0,0,0,2.885,0.19171983,0.410500854,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA
Snickers,Large,1,27.692,13.939,26.468,1.224,0.087811177,1.006,0.036328181,0.072171605,Yes,9.041,0.326484183,0.648611809,0,0,0,2.836,0.102412249,0.203457924,0,0,0,0.738,0.026650296,0.052944975,1.056,0.038133757,0.075758663,11,1,7,0,3,0,1
Bill,Large,1,53.028,8.801,45.043,7.985,0.907283263,0,0,0,No,6.734,0.126989515,0.765140325,0,0,0,0,0,0,0.834,0.01572754,0.094761959,1.7,0.032058535,0.193159868,1.233,0.023251867,0.140097716,30,0,2,0,2,0,0
Hamlet,Large,1,36.354,26.255,26.155,10.199,0.388459341,7.428,0.204324146,0.28291754,Yes,3.52,0.096825659,0.134069701,0,0,0,0,0,0,9.381,0.258045882,0.357303371,0,0,0,5.926,0.163008197,0.225709389,18,2,4,0,0,4,2
Horatio,Large,1,41.747,22.212,22.477,19.27,0.867549073,0,0,0,No,4.612,0.110475004,0.207635512,0,0,0,0,0,0,0,0,0,0.504,0.012072724,0.022690438,17.6,0.42158718,0.792364488,22,0,0,0,0,5,0
Spaghettio,Large,1,19.118,10.598,12.359,6.759,0.637761842,0,0,0,No,4.528,0.236844858,0.427250425,0,0,0,0,0,0,0.99,0.051783659,0.093413852,1.694,0.088607595,0.15984148,5.08,0.265718171,0.479335724,9,0,3,0,0,1,2
Jhonny ,Large,1,15.045,5.568,12.244,2.801,0.503053161,0,0,0,No,0.838,0.055699568,0.150502874,0,0,0,0,0,0,0,0,0,2.851,0.189498172,0.512033046,4.73,0.314390163,0.849497126,11,0,1,0,0,0,1
Eelvis ,Large,2,45.924,13.652,34.611,11.313,0.828669792,5.389,0.11734605,0.394740697,Yes,6.007,0.130803066,0.44000879,0,0,0,0.683,0.014872398,0.0500293,1.573,0.034252243,0.115221213,0,0,0,0,0,0,15,1,8,0,1,1,0
Snickers,Large,2,39.757,20.855,35.953,3.804,0.182402302,3.686,0.092713233,0.176744186,Yes,11.296,0.284126066,0.54164469,0,0,0,2.469,0.062102271,0.118388876,3.404,0.085620142,0.163222249,2.904,0.073043741,0.139247183,0,0,0,15,3,4,0,3,3,0
Bill,Large,2,38.905,9.107,34.718,4.187,0.459756231,0,0,0,No,6.139,0.157794628,0.674096849,0,0,0,0,0,0,0,0,0,4.588,0.117928287,0.503788295,2.968,0.076288395,0.325903151,18,0,3,0,0,0,3
Hamlet,Large,2,38.572,12.561,30.948,7.624,0.606958045,0,0,0,No,5.122,0.132790625,0.407770082,0,0,0,1.318,0.034169864,0.104927952,4.386,0.113709427,0.349176021,0.434,0.011251685,0.034551389,1.735,0.044980815,0.138125945,20,0,4,0,3,5,1
Horatio,Large,2,46.972,19.493,30.364,16.608,0.851998153,0,0,0,No,13.101,0.278910841,0.672087416,0,0,0,0,0,0,2.332,0.049646598,0.119632689,0,0,0,4.06,0.086434472,0.208279895,15,0,8,0,0,2,3
Spaghettio,Large,2,28.711,9.762,21.08,7.631,0.781704569,0,0,0,No,6.575,0.229006304,0.673530014,0,0,0,0,0,0,3.187,0.111002752,0.326469986,0.084,0.002925708,0.008604794,0,0,0,13,0,6,0,0,4,0
Jhonny ,Large,2,51.91,25.284,28.938,22.972,0.908558772,11.846,0.228202658,0.46851764,Yes,7.506,0.144596417,0.296867584,0,0,0,1.089,0.020978617,0.043070717,4.843,0.093296089,0.191544059,1.106,0.021306107,0.043743079,0,0,0,19,1,3,0,1,2,0
Eelvis ,Large,3,68.045,23.377,57.997,10.048,0.429824186,16.829,0.247321625,0.719895624,Yes,3.768,0.055375119,0.16118407,0,0,0,0,0,0,2.78,0.040855316,0.118920306,1.189,0.017473731,0.050861958,0,0,0,16,4,4,0,0,2,0
Bill,Large,3,50.875,26.903,45.09,5.785,0.215031781,5.183,0.10187715,0.192655094,Yes,20.17,0.396461916,0.749730513,0,0,0,0.6,0.011793612,0.022302345,0.95,0.018673219,0.035312047,0.45,0.008845209,0.016726759,0,0,0,15,3,7,0,1,2,0
Hamlet,Large,3,56.014,8.397,39.651,16.363,1.948672145,2.091,0.037329953,0.249017506,Yes,5.67,0.101224694,0.675241158,0,0,0,0.636,0.011354304,0.075741336,0,0,0,1.288,0.022994251,0.153388115,,,0,,1,5,0,1,0,0
Horatio,Large,3,24.09,4.176,13.162,10.928,2.616858238,0,0,0,No,0,0,0,0,0,0,0,0,0,4.176,0.173349938,1,0.387,0.016064757,0.092672414,0,0,0,12,0,3,0,0,0,4
Spaghettio,Large,3,102.485,41.028,97.64,4.845,0.118090085,0,0,0,No,40.126,0.391530468,0.978015014,0,0,0,0,0,0,0.902,0.008801288,0.021984986,6.5,0.063423916,0.15842839,0,0,0,10,0,4,0,0,1,0
Jhonny ,Large,3,19.836,9.44,16.806,3.03,0.320974576,0,0,0,No,5.841,0.29446461,0.61875,0,0,0,2.795,0.140905424,0.296080508,0.804,0.040532365,0.085169492,0,0,0,0,0,0,7,0,3,0,3,1,0
