Eel,Treatment,Treatment_Round,Trial_Duration,Handling_Duration,PT_Duration,PT_Prop,Knotting_Duration,Knotting_Prop,Knotting_Prop_Handling,Knotting_Binomial,Rotating_Duration,Rotating_Prop,Rotating_Prop_Handling,Ramming_Duration,Ramming_Prop,Ramming_Prop_Handling,Shaking_Duration,Shaking_Prop,Shaking_Prop_Handling,Crinkle_Duration,Crinkle_Prop,Crinkle_Prop_Handling,Tug_Duration,Tug_Prop,Tug_Prop_Handling,Anchor_Duration,Anchor_Prop,Anchor_Prop_Handling,Bite
Spaghettio,Small,3,31.666,18.175,13.491,0.426040548,0,0,0,No,0,0,0,0,0,0,0,0,0,8.9,0.281058549,0.489683631,3.815,0.120476221,0.209903714,9,0.28421651,0.495185695,17
Jhonny ,Small,3,48.931,45.909,3.022,0.061760438,0,0,0,No,14.262,0.291471664,0.310658041,1.253,0.025607488,0.027293123,0.351,0.007173367,0.00764556,0.116,0.002370685,0.002526738,1.152,0.023543357,0.025093119,1.803,0.036847806,0.039273345,12
Eelvis ,Medium,1,140.228,133.607,6.621,0.047215963,0,0,0,No,22.251,0.158677297,0.166540675,0,0,0,0,0,0,3.997,0.02850358,0.029916097,11.471,0.081802493,0.08585628,0.451,0.003216191,0.003375572,29
Snickers,Medium,1,193.271,175.91,17.361,9,0,0,0,No,46.9,0.242664445,0.266613609,0,0,0,0,0,0,15.87,0.082112681,0.090216588,27.23,0.140890253,0.154795066,1.418,0.007336848,0.00806094,26
Bill,Medium,1,30.071,30.071,0,0,0,0,0,No,12.771,0.424694889,0.424694889,0,0,0,1.509,0.050181238,0.050181238,0.939,0.031226098,0.031226098,0,0,0,0,0,0,16
Hamlet,Medium,1,45.558,22.998,22.56,0.495192941,0,0,0,No,3.305,0.072544888,0.143708149,0,0,0,0.856,0.018789236,0.037220628,14.95,0.328153123,0.650056527,1.02,0.022389043,0.044351683,5.689,0.124873787,0.247369336,22
Horatio,Medium,1,40.302,29.816,10.486,0.260185599,0,0,0,No,13.901,0.344920848,0.466226187,0,0,0,0,0,0,15.796,0.391940847,0.529782667,0,0,0,0,0,0,18
Spaghettio,Medium,1,20.979,16.585,4.394,0.209447543,0,0,0,No,7.68,0.366080366,0.463069038,0,0,0,0,0,0,2.617,0.124743791,0.157793187,0.587,0.027980361,0.035393428,0,0,0,11
Jhonny ,Medium,1,20.64,12.431,8.209,0.397722868,0,0,0,No,2.893,0.140164729,0.23272464,0,0,0,0.572,0.027713178,0.046013997,7.048,0.341472868,0.566969673,0.623,0.030184109,0.050116644,10.833,0.524854651,0.871450406,10
Eelvis ,Medium,2,162.947,162.947,0,0,0,0,0,No,34.637,0.212566049,0.212566049,7.958,0.048837966,0.048837966,0,0,0,4.657,0.028579845,0.028579845,8.075,0.049555991,0.049555991,0,0,0,26
Snickers,Medium,2,255.359,252.189,3.17,0.012413896,0,0,0,No,5.204,0.020379152,0.020635317,0,0,0,0.534,0.002091174,0.00211746,0,0,0,2.619,0.010256149,0.010385068,1.418,0.005552967,0.005622767,14
Bill,Medium,2,17.938,4.543,13.395,0.746738767,0,0,0,No,0,0,0,0,0,0,0.587,0.032723827,0.129209773,0,0,0,1.023,0.057029769,0.225181598,6.471,0.360742558,0.9999999,9
Hamlet,Medium,2,22.961,15.425,7.536,0.328208702,0,0,0,No,1.239,0.053961064,0.080324149,0,0,0,1.793,0.078088933,0.11623987,3.416,0.148774008,0.221458671,1.641,0.071469013,0.106385737,2.059,0.089673795,0.133484603,19
Horatio,Medium,2,46.096,29.374,16.722,0.362764665,0,0,0,No,5.361,0.116300764,0.182508341,0,0,0,0.72,0.015619577,0.024511473,14.109,0.306078619,0.480322734,0,0,0,0.503,0.01091201,0.017123987,14
Spaghettio,Medium,2,28.822,17.359,11.463,0.397717022,0,0,0,No,9.945,0.345048921,0.572901665,0,0,0,0,0,0,15.478,0.537020332,0.891641224,0,0,0,4.474,0.155228645,0.25773374,11
